family	decimalLatitude	decimalLongitude
Apocynaceae	34.177193	-118.473558
Brassicaceae	34.177193	-118.473558
Salicaceae	34.177193	-118.473558
Sapindaceae	34.177193	-118.473558
Amaranthaceae	34.177193	-118.473558
Anacardiaceae	34.121611	-118.410344
Plantaginaceae	34.121611	-118.410344
Polygonaceae	38.155462	-122.948813
Anacardiaceae	34.119372	-118.409894
Pontederiaceae	40.536485	-80.184424
Hydrophyllaceae	34.146166	-118.279334
Amaranthaceae	30.350122	-97.80181
Pinaceae	43.627709	-72.5297
Taxaceae	44.633041	-71.659698
Loasaceae	38.613829	-119.700916
Brassicaceae	34.156793	-118.297691
Plantaginaceae	34.156793	-118.297691
Euphorbiaceae	34.156793	-118.297691
Asteraceae	34.156793	-118.297691
Cupressaceae	43.578891	-72.035323
Poaceae	32.54743	-92.161029
Asteraceae	33.970556	-118.431501
Cleomaceae	33.970556	-118.431501
Heliotropiaceae	33.970556	-118.431501
Asteraceae	33.970556	-118.431501
Asteraceae	33.970556	-118.431501
Rosaceae	33.970556	-118.431501
Salicaceae	33.970556	-118.431501
Asteraceae	33.970556	-118.431501
Lamiaceae	33.97004	-118.434548
Pinaceae	44.752829	-71.741667
Asteraceae	33.960703	-118.450992
Asteraceae	33.963348	-118.454161
Ericaceae	38.60313	-122.73602
Pinaceae	44.521167	-72.8095
Ranunculaceae	37.613925	-119.083643
Hydrophyllaceae	34.191992	-118.172242
Rosaceae	34.191992	-118.172242
Rhamnaceae	34.191992	-118.172242
Asteraceae	34.191992	-118.172242
Salicaceae	34.191992	-118.172242
Rhamnaceae	34.191992	-118.172242
Cupressaceae	43.57342	-73.404134
Pinaceae	44.791825	-71.818485
Taxaceae	44.202069	-71.473789
Passifloraceae	30.405492	-97.791255
Polygonaceae	35.6765	-121.284834
Asteraceae	35.6765	-121.285
Polygonaceae	35.662884	-121.257702
Asteraceae	35.662884	-121.257702
Heliotropiaceae	35.595833	-121.127915
Brassicaceae	35.595833	-121.127915
